Warning: World-writable config file '/etc/mysql/conf.d/my.cnf' is ignored
id	name	level	hp	mindmg	maxdmg	min_respawn	max_respawn	zones
76043	Avatar_of_Abhorrence	58	29305	81	228	1440	1440	hateplane
76044	Master_of_Spite	58	29305	81	228	1440	1440	hateplane
76045	Mistress_of_Scorn	58	29305	81	228	1440	1440	hateplane
91090	Zordakalicus_Ragefire	60	33000	106	315	NULL	NULL	NULL
186025	#Hand_of_the_Maestro	58	32000	87	372	70308	70308	hateplaneb
186151	#Mistress_A`Zara	60	19000	74	368	900	900	hateplaneb
186153	#The_Deathrot_Knight	65	35000	90	204	43200	43200	hateplaneb
186154	#Lord_of_Ire	55	32000	74	368	900	900	hateplaneb
186155	#Lord_of_Loathing	55	15000	74	368	900	900	hateplaneb
186156	#Master_R`Tal	55	32000	74	368	900	900	hateplaneb
186157	#Magi_P`Tasa	56	32000	74	325	900	900	hateplaneb
186158	Innoruuk	70	100200	204	822	NULL	NULL	NULL
186159	#Mistress_of_Scorn	55	33000	74	368	900	900	hateplaneb
186160	#Coercer_T`vala	56	32000	144	325	900	900	hateplaneb
186161	#an_ashenbone_broodmaster	60	32000	163	315	900	900	hateplaneb
186163	#Avatar_of_Abhorrence	55	32000	74	368	900	900	hateplaneb
186164	#Vicar_M`Kari	55	15000	88	368	900	900	hateplaneb
186165	#Master_of_Spite	58	32000	74	368	900	900	hateplaneb
186167	#Assassin_Z`Jrix	61	21000	134	533	900	900	hateplaneb
186168	#Sorcerer_C`Gazin	63	21000	134	533	900	900	hateplaneb
186169	#Evangelist_W`Rixxus	61	21000	134	533	900	900	hateplaneb
186170	#Dread_Knight_T`Kamax	63	29000	134	533	900	900	hateplaneb
186171	#Warlord_E`Prosio	63	21000	134	533	900	900	hateplaneb
186172	#Spy_Master_I`Kavin	65	25000	134	533	900	900	hateplaneb
186173	#Overlord_R`Gahbsa	65	25000	134	533	2700	2700	hateplaneb
186174	#Dreadlord_M`Noxin	65	25000	134	533	900	900	hateplaneb
186175	#Archon_G`Uvin	65	25000	134	533	2700	2700	hateplaneb
186176	#Arch_Lich_T`Vaxok	65	25000	134	533	900	900	hateplaneb
186177	#Arcanist_V`Gimis	65	25000	134	533	2700	2700	hateplaneb
186178	#Master_of_Vengence	60	29305	74	527	900	900	hateplaneb
186181	#Mistress_of_Malevolence	60	23000	74	368	900	900	hateplaneb
186182	#Warlock_J`Rath	63	29000	134	533	900	900	hateplaneb
186183	#Grandmaster_H`Qilm	63	23000	134	533	194400	194400	hateplaneb
186184	#Master_D`Samni	63	23000	134	533	2700	2700	hateplaneb
186186	#Grim_Abhorrent_Kaltik	63	29000	134	533	900	900	hateplaneb
186187	#Lord_of_Fury	63	29000	134	533	2700	2700	hateplaneb
186188	#Templar_J`Rosix	63	29000	134	533	900	900	hateplaneb
186189	Corrupter_of_Life	60	25000	145	430	10800	10800	hateplaneb
186198	#Evangelist_of_Hate	65	200000	250	1200	NULL	NULL	NULL
