faction_id	faction_name	base_standing
863	Faction863	0
864	Faction864	0
865	Faction865	0
866	Faction866	0
867	Faction867	0
868	Faction868	0
869	Faction869	0
870	Faction870	0
871	Faction871	0
872	Faction872	0
873	Faction873	0
874	Faction874	0
875	Faction875	0
876	Faction876	0
877	Faction877	0
878	Faction878	0
879	Faction879	0
880	Faction880	0
881	Faction881	0
882	Faction882	0
883	Faction883	0
884	Faction884	0
885	Faction885	0
886	Faction886	0
887	Faction887	0
888	Faction888	0
889	Faction889	0
890	Faction890	0
891	Faction891	0
892	Faction892	0
893	Faction893	0
894	Faction894	0
895	Faction895	0
896	Faction896	0
897	Faction897	0
898	Faction898	0
899	Faction899	0
900	Faction900	0
901	Faction901	0
902	Faction902	0
903	Faction903	0
904	Faction904	0
905	Faction905	0
906	Faction906	0
907	Faction907	0
908	Faction908	0
909	Faction909	0
910	Faction910	0
911	Faction911	0
912	Faction912	0
913	Faction913	0
914	Faction914	0
915	Faction915	0
916	Faction916	0
917	Faction917	0
918	Faction918	0
919	Faction919	0
920	Faction920	0
921	Faction921	0
922	Faction922	0
923	Faction923	0
924	Faction924	0
925	Faction925	0
926	Faction926	0
927	Faction927	0
928	Faction928	0
929	Faction929	0
930	Faction930	0
931	Faction931	0
932	Faction932	0
933	Faction933	0
934	Faction934	0
935	Faction935	0
936	Faction936	0
937	Faction937	0
938	Faction938	0
939	Faction939	0
940	Faction940	0
941	Faction941	0
942	Faction942	0
943	Faction943	0
944	Faction944	0
945	Faction945	0
946	Faction946	0
947	Faction947	0
948	Faction948	0
949	Faction949	0
950	Faction950	0
951	Faction951	0
952	Faction952	0
953	Faction953	0
954	Faction954	0
955	Faction955	0
956	Faction956	0
957	Faction957	0
958	Faction958	0
959	Faction959	0
960	Faction960	0
961	Faction961	0
962	Faction962	0
963	Faction963	0
964	Faction964	0
965	Faction965	0
966	Faction966	0
967	Faction967	0
968	Faction968	0
969	Faction969	0
970	Faction970	0
971	Faction971	0
972	Faction972	0
973	Faction973	0
974	Faction974	0
975	Faction975	0
976	Faction976	0
977	Faction977	0
978	Faction978	0
979	Faction979	0
980	Faction980	0
981	Faction981	0
982	Faction982	0
983	Faction983	0
984	Faction984	0
985	Faction985	0
986	Faction986	0
987	Faction987	0
988	Faction988	0
989	Faction989	0
990	Faction990	0
991	Faction991	0
992	Faction992	0
993	Faction993	0
994	Faction994	0
995	Faction995	0
996	Faction996	0
997	Faction997	0
998	Faction998	0
999	Faction999	0
388	Fairie	0
75	Fairy (Race)	0
1667	Fallen Follies of Mischief	0
1056	Fallen Guard of Illsalin	0
420	Fallen of Bloody Kithicor	0
1191	Fang Breakers	0
1164	Fangs of Saarisz	0
1779	Farmers of the Lunanyn	0
513	Faun	0
384	Fay Scout	0
246	Faydarks Champions	0
485	Faydrake	0
162	Fayguard	0
1523	Feast of the Burrowers	0
156	Fel Guard	0
1850	Fellowship of the Peacock	0
615	Fennin Ro	0
1116	Fieldstrider Centaur	0
1585	Fiends of the Grove	0
72	Fire Beetle	0
543	Fire Elemental (Race)	0
624	Fire Mephit	0
1022	Firiona Vie	0
74	Fish	0
1634	Fish Lords	0
205	Fizzlethorp	0
5005	Fizzlethorpe	0
1856	Flamescale Legion	0
1843	Flaming Jacks	0
1065	Fledgling Scrykin	0
1753	Flowkeepers	0
499	Flying Monkey	0
1729	Followers of Korucust	0
1012	Followers of Loschryre	0
1011	Followers of Mekvidarsh	0
1094	Forces of Dyn'leth	0
190	Forest Giant	0
1734	Forgotten Guktan Spirits	0
1818	Forsaken Believers	0
1115	Foulblood Fieldstrider Centaur	0
1055	Free Traders of Malgrinnor	0
1672	Friends of Zordak Ragefire	0
76	Froglok	0
77	Froglok Ghoul	0
152	Froglok Tadpole	0
251	Frogloks of Guk	0
1593	Frogloks of Krup	0
252	Frogloks of Kunark	0
1665	Frogloks of Sebilis	0
1666	Frogloks of Ykesha	0
519	Frost Giant	0
1122	Frostbite Clan	0
1037	Frostflake Goblins	0
1736	Frostfoot Goblins	0
549	Fungal Fiend	0
78	Fungus Man	-350
1080	Furies of Shir	0
1077	Furies of the North	0
1144	Galigaba	0
559	Galorian	0
79	Gargoyle	0
254	Gate Callers	0
81	Gelatinous Cube	0
456	Gelistial	0
255	Gem Choppers	0
1751	Geomantic Compact	0
458	Geonid Collective	-100
82	Ghost	0
527	Ghost Dragon	0
167	Ghost Dwarf	0
164	Ghost Ship	0
83	Ghoul	0
84	Giant Bat	0
606	Giant Clockwork	0
86	Giant Rat	0
87	Giant Snake	0
88	Giant Spider	0
5056	Gimlik Cogboggle	0
1489	Gladiators and Slaves of Sanctus Seru	0
1647	Gladiators of Drunder	0
1771	Gladiators of Mata Muram	0
260	Gnarled Fist	0
89	Gnoll	0
62	Gnome	0
669	Gnome Pirate	0
90	Goblin	-550
